ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon
Cab021,Cabanatuan,Burak,Tag-ulan,2019,2019-05-07,2019-08-24,NSIC Rc402,4.0,73.0,60.0,60,3614.62,17.34,62677.58,109,294.22,27.4,8.7,Wala,Wala
Cab022,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-06,2019-09-27,PSB Rc82,4.61,83.0,70.0,60,4190.56,17.34,72664.26,113,226.07,26.6,9.4,Wala,Wala
Cab023,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-19,2019-10-05,NSIC Rc402,1.56,93.0,78.0,60,4685.9,17.34,81253.43,108,276.97,30.1,8.2,Wala,Wala
Cab024,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-09,2019-08-21,PSB Rc82,4.23,96.0,78.0,60,4680.13,17.34,81153.44,104,317.18,24.5,6.8,Wala,Wala
Cab025,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-01,2019-09-25,NSIC Rc402,2.36,78.0,60.0,60,3613.75,17.34,62662.44,116,316.2,27.2,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab026,Cabanatuan,Burak,Tag-ulan,2019,2019-06-28,2019-10-11,PSB Rc82,2.27,83.0,69.0,60,4169.19,17.34,72293.7,105,266.15,29.2,8.8,Wala,Wala
Cab027,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-05,2019-08-19,NSIC Rc402,2.96,85.0,69.0,60,4119.33,17.34,71429.16,106,351.55,29.9,8.0,Wala,Wala
Cab028,Cabanatuan,Burak,Tag-ulan,2019,2019-06-03,2019-09-28,PSB Rc82,4.51,92.0,80.0,60,4788.47,17.34,83032.04,117,258.04,27.4,8.9,Wala,Wala
Cab029,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-07,2019-09-20,NSIC Rc222,4.31,70.0,60.0,60,3620.72,17.34,62783.32,105,316.56,30.0,8.2,Wala,Wala
Cab030,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-19,2019-09-15,NSIC Rc402,2.12,76.0,63.0,60,3802.12,17.34,65928.7,119,276.04,27.6,8.8,Wala,Wala
Cab031,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-02,2019-08-20,NSIC Rc222,1.24,87.0,74.0,60,4462.85,17.34,77385.84,110,244.68,25.6,9.4,Wala,Wala
Cab032,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-24,2019-09-09,PSB Rc82,0.73,75.0,63.0,60,3803.13,17.34,65946.29,108,340.63,30.7,7.6,Wala,Wala
Cab033,Cabanatuan,Burak,Tag-ulan,2019,2019-06-23,2019-10-12,PSB Rc82,2.91,83.0,69.0,60,4139.6,17.34,71780.68,111,296.4,30.0,8.7,Wala,Wala
Cab034,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-06,2019-08-31,PSB Rc82,1.5,100.0,86.0,60,5130.37,17.34,88960.54,117,318.08,26.7,8.2,Wala,Wala
Cab035,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-12,2019-08-29,PSB Rc82,3.06,87.0,76.0,60,4556.49,17.34,79009.6,109,318.07,31.1,7.7,Wala,Wala
Cab036,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-16,2019-08-25,NSIC Rc216,4.99,94.0,81.0,60,4833.28,17.34,83809.07,101,298.21,31.1,7.6,Wala,Wala
Cab037,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-05,2019-09-26,NSIC Rc222,4.38,73.0,59.0,60,3566.73,17.34,61847.04,113,169.01,29.6,8.6,Wala,Wala
Cab038,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-05,2019-09-30,NSIC Rc216,0.56,74.0,66.0,60,3976.0,17.34,68943.88,117,304.35,27.4,8.4,Wala,Wala
Cab039,Cabanatuan,Burak,Tag-ulan,2019,2019-05-07,2019-08-23,NSIC Rc402,4.23,80.0,67.0,60,4019.41,17.34,69696.54,108,304.59,24.0,7.5,Wala,Wala
Cab040,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-09,2019-09-02,NSIC Rc216,0.52,97.0,87.0,60,5223.9,17.34,90582.48,116,289.02,28.7,9.0,Wala,Wala
Cab041,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-26,2019-10-22,NSIC Rc222,4.62,68.0,54.0,60,3269.45,17.34,56692.32,118,373.89,27.0,8.0,Wala,Wala
Cab042,Cabanatuan,Burak,Tag-ulan,2019,2019-06-24,2019-10-08,PSB Rc82,2.88,68.0,53.0,60,3175.56,17.34,55064.27,106,259.58,27.0,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab043,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-16,2019-09-10,PSB Rc82,0.86,72.0,58.0,60,3481.33,17.34,60366.34,117,345.77,28.7,8.0,Wala,Wala
Cab044,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-24,2019-10-04,NSIC Rc216,2.45,88.0,71.0,60,4289.62,17.34,74381.93,102,273.51,29.0,8.1,Wala,Wala
Cab045,Cabanatuan,Burak,Tag-ulan,2019,2019-06-14,2019-09-26,NSIC Rc402,2.29,81.0,77.0,60,4639.02,17.34,80440.63,104,304.85,29.9,8.0,Wala,Wala
Cab046,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-17,2019-09-02,NSIC Rc216,0.94,75.0,59.0,60,3519.99,17.34,61036.69,108,264.9,27.3,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab047,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-28,2019-09-23,PSB Rc82,4.73,86.0,68.0,60,4104.98,17.34,71180.38,118,280.39,25.1,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab048,Cabanatuan,Burak,Tag-ulan,2019,2019-05-08,2019-08-24,PSB Rc82,2.17,91.0,82.0,60,4891.3,17.34,84815.12,108,314.81,28.5,8.4,Wala,Wala
Cab049,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-19,2019-10-03,NSIC Rc402,1.69,82.0,69.0,60,4125.74,17.34,71540.33,106,300.26,27.5,8.2,Wala,Wala
Cab050,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-06,2019-08-22,NSIC Rc402,2.19,87.0,77.0,60,4629.99,17.34,80284.03,108,229.23,27.2,9.0,Wala,Wala
Cab051,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-23,2019-10-03,PSB Rc82,2.61,84.0,69.0,60,4126.68,17.34,71556.69,102,282.86,26.4,8.1,Wala,Wala
Cab052,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-26,2019-10-18,PSB Rc82,2.79,96.0,74.0,60,4454.75,17.34,77245.39,114,291.94,28.8,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab053,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-23,2019-10-09,NSIC Rc216,4.63,73.0,61.0,60,3657.57,17.34,63422.2,108,394.31,28.3,8.1,Wala,Wala
Cab054,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-27,2019-09-12,PSB Rc82,1.46,91.0,72.0,60,4344.36,17.34,75331.23,108,312.88,27.9,8.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab055,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-04,2019-09-01,NSIC Rc402,2.27,100.0,84.0,60,5049.61,17.34,87560.18,120,204.06,27.9,8.8,Wala,Wala
Cab056,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-04,2019-08-31,NSIC Rc402,4.0,92.0,74.0,60,4444.85,17.34,77073.67,119,303.01,32.9,7.4,Wala,Wala
Cab057,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-02,2019-09-29,NSIC Rc216,4.87,85.0,72.0,60,4330.88,17.34,75097.52,119,290.38,28.6,8.8,Wala,Wala
Cab058,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-05,2019-09-30,NSIC Rc402,0.89,70.0,67.0,60,4048.8,17.34,70206.12,117,298.26,25.7,9.2,Wala,Wala
Cab059,Cabanatuan,Burak,Tag-ulan,2019,2019-05-02,2019-08-15,PSB Rc82,4.01,78.0,65.0,60,3923.59,17.34,68035.12,105,357.14,29.5,8.1,Wala,Wala
Cab060,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-17,2019-09-11,PSB Rc82,2.18,79.0,72.0,60,4302.85,17.34,74611.33,117,339.55,26.2,8.4,Wala,Wala
Cab061,Cabanatuan,Burak,Tag-ulan,2019,2019-05-21,2019-09-07,NSIC Rc222,4.97,95.0,76.0,60,4588.33,17.34,79561.67,109,370.14,25.2,8.0,Wala,Wala
Cab062,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-05,2019-08-26,NSIC Rc222,3.16,88.0,74.0,60,4467.94,17.34,77474.12,113,329.34,32.4,8.2,Wala,Wala
Cab063,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-14,2019-08-30,NSIC Rc402,3.05,96.0,82.0,60,4893.35,17.34,84850.73,108,250.47,26.9,8.8,Wala,Wala
Cab064,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-06,2019-09-18,NSIC Rc222,3.44,97.0,78.0,60,4655.82,17.34,80731.85,104,304.98,27.0,7.4,Wala,Wala
Cab065,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-18,2019-10-08,NSIC Rc222,3.44,97.0,78.0,60,4675.22,17.34,81068.3,112,222.47,28.1,9.2,Wala,Wala
Cab066,Cabanatuan,Burak,Tag-ulan,2019,2019-06-21,2019-09-30,NSIC Rc216,3.3,79.0,64.0,60,3815.16,17.34,66154.81,101,246.88,28.9,8.0,Wala,Wala
Cab067,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-24,2019-09-17,NSIC Rc402,0.53,81.0,63.0,60,3754.84,17.34,65109.0,116,254.03,31.1,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab068,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-24,2019-10-07,NSIC Rc216,1.3,85.0,69.0,60,4154.22,17.34,72034.22,105,260.84,27.4,8.7,Wala,Wala
Cab069,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-13,2019-08-24,PSB Rc82,1.22,81.0,64.0,60,3865.74,17.34,67032.0,103,340.68,25.5,7.4,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab070,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-05,2019-08-17,NSIC Rc222,1.09,67.0,54.0,60,3266.3,17.34,56637.71,104,311.37,30.6,6.8,Wala,Wala
Cab071,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-10,2019-10-02,PSB Rc82,4.87,70.0,56.0,60,3373.37,17.34,58494.23,114,219.63,28.4,9.2,Wala,Wala
Cab072,Cabanatuan,Burak,Tag-ulan,2019,2019-06-13,2019-09-28,NSIC Rc222,0.61,82.0,71.0,60,4263.37,17.34,73926.85,107,312.99,29.6,8.3,Wala,Wala
Cab073,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-17,2019-09-01,NSIC Rc222,4.72,72.0,60.0,60,3625.16,17.34,62860.35,107,238.15,25.4,8.8,Wala,Wala
Cab074,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-07,2019-09-25,NSIC Rc222,0.54,94.0,73.0,60,4406.5,17.34,76408.7,110,326.1,28.6,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab075,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-01,2019-08-15,NSIC Rc216,2.21,93.0,71.0,60,4267.42,17.34,73997.05,106,312.52,28.7,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab076,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-28,2019-10-13,NSIC Rc216,3.07,77.0,67.0,60,4008.05,17.34,69499.57,107,266.0,28.5,8.9,Wala,Wala
Cab077,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-25,2019-10-04,NSIC Rc216,3.11,71.0,64.0,60,3826.38,17.34,66349.35,101,314.65,26.6,7.8,Wala,Wala
Cab078,Cabanatuan,Burak,Tag-ulan,2019,2019-05-20,2019-08-31,PSB Rc82,1.95,89.0,77.0,60,4608.28,17.34,79907.6,103,393.29,28.9,7.7,Wala,Wala
Cab079,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-16,2019-09-05,PSB Rc82,1.6,83.0,66.0,60,3938.31,17.34,68290.34,112,240.43,29.3,9.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab080,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-01,2019-09-19,NSIC Rc216,4.47,73.0,58.0,60,3495.25,17.34,60607.57,110,251.27,29.6,9.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab081,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-24,2019-09-01,NSIC Rc402,2.87,73.0,54.0,60,3254.48,17.34,56432.73,100,357.93,26.4,7.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab082,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-19,2019-09-07,NSIC Rc222,4.67,86.0,69.0,60,4143.02,17.34,71839.94,111,348.17,28.8,8.6,Wala,Wala
Cab083,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-07,2019-08-27,NSIC Rc216,1.18,94.0,81.0,60,4843.66,17.34,83989.06,112,341.1,31.8,8.2,Wala,Wala
Cab084,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-19,2019-08-31,NSIC Rc222,2.7,97.0,88.0,60,5258.86,17.34,91188.61,104,287.73,26.5,8.4,Wala,Wala
Cab085,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-13,2019-09-25,NSIC Rc402,4.8,84.0,68.0,60,4100.02,17.34,71094.38,104,255.52,26.4,8.0,Wala,Wala
Cab086,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-26,2019-09-05,PSB Rc82,4.43,70.0,66.0,60,3942.17,17.34,68357.28,102,296.14,28.7,8.6,Wala,Wala
Cab087,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-09,2019-08-23,NSIC Rc216,3.16,69.0,58.0,60,3507.22,17.34,60815.26,106,313.83,29.7,8.2,Wala,Wala
Cab088,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-14,2019-10-07,NSIC Rc216,4.54,97.0,78.0,60,4658.04,17.34,80770.36,115,300.65,30.9,8.0,Wala,Wala
Cab089,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-24,2019-09-01,NSIC Rc402,4.85,67.0,62.0,60,3691.33,17.34,64007.69,100,286.77,33.4,7.9,Wala,Wala
Cab090,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-25,2019-09-19,NSIC Rc216,4.67,97.0,90.0,60,5370.71,17.34,93128.19,117,331.28,26.3,8.5,Wala,Wala
Cab091,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-20,2019-09-16,NSIC Rc402,0.5,91.0,70.0,60,4183.99,17.34,72550.42,119,246.46,29.0,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab092,Cabanatuan,Burak,Tag-ulan,2019,2019-06-18,2019-10-02,NSIC Rc216,4.85,90.0,64.0,60,3869.85,17.34,67103.17,106,288.83,29.4,8.3,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Cab093,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-26,2019-09-15,NSIC Rc402,2.42,72.0,65.0,60,3879.14,17.34,67264.36,112,323.66,27.9,9.0,Wala,Wala
Cab094,Cabanatuan,Burak,Tag-ulan,2019,2019-05-04,2019-09-01,NSIC Rc222,1.37,100.0,80.0,60,4818.79,17.34,83557.76,120,257.66,25.0,8.0,Wala,Wala
Sci000,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-03,2019-09-20,NSIC Rc216,4.17,99.0,75.0,60,4480.71,17.34,77695.46,109,277.67,29.7,8.4,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci001,Science City of Muñoz,Mabuhanging Burak,Tag-ulan,2019,2019-06-11,2019-10-05,NSIC Rc222,0.75,71.0,63.0,60,3796.64,17.34,65833.75,116,310.7,25.5,8.4,Wala,Wala
Sci002,Science City of Muñoz,Burak,Tag-ulan,2019,2019-05-09,2019-09-02,NSIC Rc216,1.8,77.0,66.0,60,3949.27,17.34,68480.32,116,308.66,28.8,8.2,Wala,Wala
Sci003,Science City of Muñoz,Buhanging Lupa,Tag-ulan,2019,2019-06-24,2019-10-05,PSB Rc82,1.41,80.0,63.0,60,3768.66,17.34,65348.59,103,255.81,28.3,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci004,Science City of Muñoz,Mabuhanging Burak,Tag-ulan,2019,2019-06-08,2019-09-28,NSIC Rc402,4.41,97.0,79.0,60,4738.79,17.34,82170.54,112,302.91,25.7,8.7,Wala,Wala
Sci005,Science City of Muñoz,Burak,Tag-ulan,2019,2019-06-26,2019-10-15,PSB Rc82,1.17,87.0,82.0,60,4908.46,17.34,85112.62,111,317.89,29.1,9.2,Wala,Wala
Sci006,Science City of Muñoz,Burak,Tag-ulan,2019,2019-05-06,2019-08-24,PSB Rc82,0.8,99.0,86.0,60,5166.64,17.34,89589.54,110,354.15,30.1,8.3,Wala,Wala
Sci007,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-06,2019-09-26,NSIC Rc216,4.92,85.0,64.0,60,3842.58,17.34,66630.29,112,231.12,26.1,9.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci008,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-28,2019-10-21,PSB Rc82,2.62,83.0,68.0,60,4088.49,17.34,70894.49,115,325.75,29.0,8.7,Wala,Wala
Sci009,Science City of Muñoz,Burak,Tag-ulan,2019,2019-06-04,2019-09-26,NSIC Rc216,2.82,92.0,60.0,60,3596.37,17.34,62361.05,114,325.75,35.7,6.8,Matinding Init; Mababang Ani,Regular na pagpapatubig; Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci010,Science City of Muñoz,Burak,Tag-ulan,2019,2019-06-09,2019-09-21,NSIC Rc402,0.63,100.0,93.0,60,5607.82,17.34,97239.55,104,328.54,30.3,7.3,Wala,Wala
Sci011,Science City of Muñoz,Burak,Tag-ulan,2019,2019-06-17,2019-09-29,NSIC Rc402,4.49,70.0,59.0,60,3529.21,17.34,61196.43,104,347.7,29.3,7.6,Wala,Wala
Sci012,Science City of Muñoz,Buhanging Lupa,Tag-ulan,2019,2019-06-01,2019-09-13,NSIC Rc402,3.96,72.0,53.0,60,3189.1,17.34,55299.02,104,284.24,29.5,7.7,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci013,Science City of Muñoz,Buhanging Lupa,Tag-ulan,2019,2019-05-21,2019-09-10,NSIC Rc216,1.4,67.0,52.0,60,3096.25,17.34,53689.02,112,261.36,27.5,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci014,Science City of Muñoz,Burak,Tag-ulan,2019,2019-06-21,2019-10-18,PSB Rc82,2.19,73.0,65.0,60,3890.26,17.34,67457.06,119,275.73,28.2,9.0,Wala,Wala
Sci015,Science City of Muñoz,Buhanging Lupa,Tag-ulan,2019,2019-06-25,2019-10-14,PSB Rc82,3.71,91.0,59.0,60,3548.02,17.34,61522.61,111,415.73,24.3,6.8,Matinding Ulan; Mababang Ani,Pagpapalakas ng drainage system; Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci016,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-01,2019-09-23,PSB Rc82,3.28,71.0,54.0,60,3248.84,17.34,56334.94,114,334.31,24.8,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci017,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-02,2019-09-17,NSIC Rc222,0.53,82.0,61.0,60,3662.35,17.34,63505.12,107,276.4,30.2,7.8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci018,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-06,2019-10-03,NSIC Rc216,4.56,84.0,68.0,60,4105.78,17.34,71194.26,119,303.21,25.8,8.1,Wala,Wala
Sci019,Science City of Muñoz,Burak,Tag-ulan,2019,2019-06-28,2019-10-24,NSIC Rc216,3.23,71.0,54.0,60,3265.58,17.34,56625.2,118,264.23,29.4,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
Sci020,Science City of Muñoz,Malagkit na Lupa,Tag-ulan,2019,2019-06-20,2019-09-29,PSB Rc82,4.96,99.0,82.0,60,4923.12,17.34,85366.96,101,263.48,28.4,8.1,Wala,Wala
Sci021,Science City of Muñoz,Burak,Tag-ulan,2019,2019-05-11,2019-08-23,NSIC Rc222,4.61,76.0,62.0,60,3711.21,17.34,64352.38,104,302.28,26.7,7.5,Wala,Wala
Sci022,Science City of Muñoz,Burak,Tag-ulan,2019,2019-05-16,2019-08-30,NSIC Rc402,3.11,85.0,57.0,60,3414.56,17.34,59208.48,106,407.2,29.3,6.9,Matinding Ulan; Mababang Ani,Pagpapalakas ng drainage system; Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik
