ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon,Total_Inaasahang_Kilo,Aktwal_Nabentang_Kilo,Total_Inaasahang_Kita,Aktwal_Nabentang_Kita,Planting_Month,Planting_Day,Reaping_Month,Reaping_Day,Planting_Typhoon_Risk,Reaping_Typhoon_Risk,Typhoon_Risk,Uri_ng_Palay_Freq,Bayan_Freq,Uri_ng_Lupa_Freq,Reduction_Percentage
Cab017,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-18,2019-08-26,NSIC Rc216,1.23,103.32,103.32,60,4340.37,17.34,75261.98,100,341.13,25.6,7.7,Wala,Wala,6199.2,4320.0,1791.5687999999998,1248.48,5,18,8,26,0,1,1,957,852,1539,0.0
Cab018,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-23,2019-09-20,NSIC Rc222,2.09,175.56,165.810901259871,60,3714.81,17.34,64414.88,120,310.44,24.1,7.4,Wala,Wala,9401.238,3720.0,2716.957782,1075.08,5,23,9,20,0,1,1,952,852,1511,0.05553143506566991
Cab019,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-09,2019-08-21,NSIC Rc216,4.48,376.32000000000005,314.1266793473427,60,5073.6,17.34,87976.29,104,233.59,28.4,8.3,Wala,Wala,18063.36,5100.0,5220.3110400000005,1473.9,5,9,8,21,0,1,1,957,852,1501,0.1652671148295529
Cab020,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-22,2019-10-05,PSB Rc82,3.22,270.48,270.48,60,4140.12,17.34,71789.73,105,336.92,28.3,8.5,Wala,Wala,16228.800000000001,4140.0,4690.1232,1196.46,6,22,10,5,1,1,1,948,852,1501,0.0
Cab021,Cabanatuan,Burak,Tag-ulan,2019,2019-05-07,2019-08-24,NSIC Rc402,4.0,336.0,330.93422786149887,60,3614.62,17.34,62677.58,109,294.22,27.4,8.7,Wala,Wala,16128.0,3600.0,4660.992,1040.4,5,7,8,24,0,1,1,994,852,1548,0.015076702793158214
Cab022,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-06,2019-09-27,PSB Rc82,4.61,387.24,340.3057803178854,60,4190.56,17.34,72664.26,113,226.07,26.6,9.4,Wala,Wala,18587.52,4200.0,5371.793280000001,1213.8,6,6,9,27,1,1,1,948,852,1501,0.12120188947968852
Cab023,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-19,2019-10-05,NSIC Rc402,1.56,131.04,119.25528711562774,60,4685.9,17.34,81253.43,108,276.97,30.1,8.2,Wala,Wala,5346.432,4680.0,1545.1188479999998,1352.52,6,19,10,5,1,1,1,994,852,1539,0.08993218013104587
Cab024,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-09,2019-08-21,PSB Rc82,4.23,355.32000000000005,327.016703969965,60,4680.13,17.34,81153.44,104,317.18,24.5,6.8,Wala,Wala,18121.320000000003,4680.0,5237.061480000001,1352.52,5,9,8,21,0,1,1,948,852,1500,0.07965579204670442
Cab025,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-01,2019-09-25,NSIC Rc402,2.36,198.23999999999998,198.23999999999998,60,3613.75,17.34,62662.44,116,316.2,27.2,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11894.4,3600.0,3437.4815999999996,1040.4,6,1,9,25,1,1,1,994,852,1501,0.0
Cab026,Cabanatuan,Burak,Tag-ulan,2019,2019-06-28,2019-10-11,PSB Rc82,2.27,190.68,186.16416266663407,60,4169.19,17.34,72293.7,105,266.15,29.2,8.8,Wala,Wala,9152.640000000001,4140.0,2645.1129600000004,1196.46,6,28,10,11,1,1,1,948,852,1548,0.02368280539839496
Cab027,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-05,2019-08-19,NSIC Rc402,2.96,248.64,248.64,60,4119.33,17.34,71429.16,106,351.55,29.9,8.0,Wala,Wala,14918.4,4140.0,4311.4176,1196.46,5,5,8,19,0,1,1,994,852,1539,0.0
Cab028,Cabanatuan,Burak,Tag-ulan,2019,2019-06-03,2019-09-28,PSB Rc82,4.51,378.84,339.0517891085529,60,4788.47,17.34,83032.04,117,258.04,27.4,8.9,Wala,Wala,18184.32,4800.0,5255.26848,1387.2,6,3,9,28,1,1,1,948,852,1548,0.10502642511732414
Cab029,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-07,2019-09-20,NSIC Rc222,4.31,362.03999999999996,362.03999999999996,60,3620.72,17.34,62783.32,105,316.56,30.0,8.2,Wala,Wala,21722.399999999998,3600.0,6277.7735999999995,1040.4,6,7,9,20,1,1,1,952,852,1501,0.0
Cab030,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-19,2019-09-15,NSIC Rc402,2.12,178.08,173.29088223230448,60,3802.12,17.34,65928.7,119,276.04,27.6,8.8,Wala,Wala,8547.840000000002,3780.0,2470.3257600000006,1092.42,5,19,9,15,0,1,1,994,852,1500,0.02689306922560377
Cab031,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-02,2019-08-20,NSIC Rc222,1.24,104.16,99.3288694143974,60,4462.85,17.34,77385.84,110,244.68,25.6,9.4,Wala,Wala,4999.68,4440.0,1444.90752,1283.16,5,2,8,20,0,1,1,952,852,1539,0.04638182205839659
Cab032,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-24,2019-09-09,PSB Rc82,0.73,61.32,59.63529827471557,60,3803.13,17.34,65946.29,108,340.63,30.7,7.6,Wala,Wala,3127.32,3780.0,903.79548,1092.42,5,24,9,9,0,1,1,948,852,1500,0.02747393550692148
Cab033,Cabanatuan,Burak,Tag-ulan,2019,2019-06-23,2019-10-12,PSB Rc82,2.91,244.44,237.80655680116294,60,4139.6,17.34,71780.68,111,296.4,30.0,8.7,Wala,Wala,11733.12,4140.0,3390.87168,1196.46,6,23,10,12,1,1,1,948,852,1548,0.027137306491724234
Cab034,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-06,2019-08-31,PSB Rc82,1.5,126.0,126.0,60,5130.37,17.34,88960.54,117,318.08,26.7,8.2,Wala,Wala,7560.0,5160.0,2184.84,1491.24,5,6,8,31,0,1,1,948,852,1500,0.0
Cab035,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-12,2019-08-29,PSB Rc82,3.06,257.04,243.39289541096971,60,4556.49,17.34,79009.6,109,318.07,31.1,7.7,Wala,Wala,13109.04,4560.0,3788.51256,1317.84,5,12,8,29,0,1,1,948,852,1501,0.053093310726074976
Cab036,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-16,2019-08-25,NSIC Rc216,4.99,419.16,371.930534655585,60,4833.28,17.34,83809.07,101,298.21,31.1,7.6,Wala,Wala,17101.728000000003,4860.0,4942.399392000001,1404.54,5,16,8,25,0,1,1,957,852,1501,0.11267646088466227
Cab037,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-05,2019-09-26,NSIC Rc222,4.38,367.92,314.3177845876323,60,3566.73,17.34,61847.04,113,169.01,29.6,8.6,Wala,Wala,17660.16,3540.0,5103.78624,1023.06,6,5,9,26,1,1,1,952,852,1511,0.14568986576529613
Cab038,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-05,2019-09-30,NSIC Rc216,0.56,47.040000000000006,47.040000000000006,60,3976.0,17.34,68943.88,117,304.35,27.4,8.4,Wala,Wala,2822.4000000000005,3960.0,815.6736000000001,1144.44,6,5,9,30,1,1,1,957,852,1539,0.0
Cab039,Cabanatuan,Burak,Tag-ulan,2019,2019-05-07,2019-08-23,NSIC Rc402,4.23,355.32000000000005,314.3987869265546,60,4019.41,17.34,69696.54,108,304.59,24.0,7.5,Wala,Wala,18121.320000000003,4020.0,5237.061480000001,1161.78,5,7,8,23,0,1,1,994,852,1548,0.11516721004572077
Cab040,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-09,2019-09-02,NSIC Rc216,0.52,43.68,39.99972492741661,60,5223.9,17.34,90582.48,116,289.02,28.7,9.0,Wala,Wala,2096.6400000000003,5220.0,605.9289600000001,1508.58,5,9,9,2,0,1,1,957,852,1511,0.08425538169833767
Cab041,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-26,2019-10-22,NSIC Rc222,4.62,388.08,388.08,60,3269.45,17.34,56692.32,118,373.89,27.0,8.0,Wala,Wala,23284.8,3240.0,6729.307199999999,936.36,6,26,10,22,1,1,1,952,852,1539,0.0
Cab042,Cabanatuan,Burak,Tag-ulan,2019,2019-06-24,2019-10-08,PSB Rc82,2.88,241.92,238.88562775556005,60,3175.56,17.34,55064.27,106,259.58,27.0,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11612.16,3180.0,3355.91424,919.02,6,24,10,8,1,1,1,948,852,1548,0.012542874687665123
Cab043,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-16,2019-09-10,PSB Rc82,0.86,72.24,72.24,60,3481.33,17.34,60366.34,117,345.77,28.7,8.0,Wala,Wala,4334.4,3480.0,1252.6416,1005.72,5,16,9,10,0,1,1,948,852,1511,0.0
Cab044,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-24,2019-10-04,NSIC Rc216,2.45,205.8,183.07102753124005,60,4289.62,17.34,74381.93,102,273.51,29.0,8.1,Wala,Wala,9878.400000000001,4260.0,2854.8576000000003,1231.14,6,24,10,4,1,1,1,957,852,1511,0.11044204309407173
Cab045,Cabanatuan,Burak,Tag-ulan,2019,2019-06-14,2019-09-26,NSIC Rc402,2.29,192.36,192.36,60,4639.02,17.34,80440.63,104,304.85,29.9,8.0,Wala,Wala,11541.6,4620.0,3335.5224000000003,1335.18,6,14,9,26,1,1,1,994,852,1548,0.0
Cab046,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-17,2019-09-02,NSIC Rc216,0.94,78.96,74.15123262356181,60,3519.99,17.34,61036.69,108,264.9,27.3,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,3790.08,3540.0,1095.33312,1023.06,5,17,9,2,0,1,1,957,852,1500,0.06090130922540764
Cab047,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-28,2019-09-23,PSB Rc82,4.73,397.32000000000005,367.4446905895353,60,4104.98,17.34,71180.38,118,280.39,25.1,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,19071.360000000004,4080.0,5511.62304,1179.12,5,28,9,23,0,1,1,948,852,1539,0.07519206033037543
Cab048,Cabanatuan,Burak,Tag-ulan,2019,2019-05-08,2019-08-24,PSB Rc82,2.17,182.28,182.28,60,4891.3,17.34,84815.12,108,314.81,28.5,8.4,Wala,Wala,10936.8,4920.0,3160.7352,1421.8799999999999,5,8,8,24,0,1,1,948,852,1548,0.0
Cab049,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-19,2019-10-03,NSIC Rc402,1.69,141.96,141.96,60,4125.74,17.34,71540.33,106,300.26,27.5,8.2,Wala,Wala,8517.6,4140.0,2461.5864,1196.46,6,19,10,3,1,1,1,994,852,1500,0.0
Cab050,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-06,2019-08-22,NSIC Rc402,2.19,183.96,162.76689211002554,60,4629.99,17.34,80284.03,108,229.23,27.2,9.0,Wala,Wala,8830.08,4620.0,2551.89312,1335.18,5,6,8,22,0,1,1,994,852,1501,0.11520497874524076
Cab051,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-23,2019-10-03,PSB Rc82,2.61,219.23999999999998,199.96311977690996,60,4126.68,17.34,71556.69,102,282.86,26.4,8.1,Wala,Wala,10523.52,4140.0,3041.29728,1196.46,6,23,10,3,1,1,1,948,852,1500,0.08792592694348661
Cab052,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-26,2019-10-18,PSB Rc82,2.79,234.36,231.85060843111216,60,4454.75,17.34,77245.39,114,291.94,28.8,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11249.280000000002,4440.0,3251.0419200000006,1283.16,6,26,10,18,1,1,1,948,852,1539,0.010707422635636819
Cab053,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-23,2019-10-09,NSIC Rc216,4.63,388.92,388.92,60,3657.57,17.34,63422.2,108,394.31,28.3,8.1,Wala,Wala,23335.2,3660.0,6743.8728,1057.74,6,23,10,9,1,1,1,957,852,1501,0.0
Cab054,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-27,2019-09-12,PSB Rc82,1.46,122.64,122.64,60,4344.36,17.34,75331.23,108,312.88,27.9,8.0,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,7358.4,4320.0,2126.5776,1248.48,5,27,9,12,0,1,1,948,852,1500,0.0
Cab055,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-04,2019-09-01,NSIC Rc402,2.27,190.68,162.7948138482761,60,5049.61,17.34,87560.18,120,204.06,27.9,8.8,Wala,Wala,9610.272,5040.0,2777.3686080000007,1456.56,5,4,9,1,0,1,1,994,852,1511,0.14624074969437748
Cab056,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-04,2019-08-31,NSIC Rc402,4.0,336.0,326.416876609612,60,4444.85,17.34,77073.67,119,303.01,32.9,7.4,Wala,Wala,17135.999999999996,4440.0,4952.303999999999,1283.16,5,4,8,31,0,1,1,994,852,1511,0.02852120056663087
Cab057,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-02,2019-09-29,NSIC Rc216,4.87,409.08,376.40461753191664,60,4330.88,17.34,75097.52,119,290.38,28.6,8.8,Wala,Wala,19635.84,4320.0,5674.75776,1248.48,6,2,9,29,1,1,1,957,852,1500,0.07987528715186111
Cab058,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-05,2019-09-30,NSIC Rc402,0.89,74.76,73.33966158607623,60,4048.8,17.34,70206.12,117,298.26,25.7,9.2,Wala,Wala,3588.4800000000005,4020.0,1037.0707200000002,1161.78,6,5,9,30,1,1,1,994,852,1539,0.018998641170730024
Cab059,Cabanatuan,Burak,Tag-ulan,2019,2019-05-02,2019-08-15,PSB Rc82,4.01,336.84,336.84,60,3923.59,17.34,68035.12,105,357.14,29.5,8.1,Wala,Wala,20210.399999999998,3900.0,5840.8056,1127.1,5,2,8,15,0,1,1,948,852,1548,0.0
Cab060,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-17,2019-09-11,PSB Rc82,2.18,183.12,183.12,60,4302.85,17.34,74611.33,117,339.55,26.2,8.4,Wala,Wala,10987.2,4320.0,3175.3008,1248.48,5,17,9,11,0,1,1,948,852,1539,0.0
Cab061,Cabanatuan,Burak,Tag-ulan,2019,2019-05-21,2019-09-07,NSIC Rc222,4.97,417.47999999999996,417.47999999999996,60,4588.33,17.34,79561.67,109,370.14,25.2,8.0,Wala,Wala,25048.8,4560.0,7239.1032,1317.84,5,21,9,7,0,1,1,952,852,1548,0.0
Cab062,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-05,2019-08-26,NSIC Rc222,3.16,265.44,259.2441669739561,60,4467.94,17.34,77474.12,113,329.34,32.4,8.2,Wala,Wala,13537.44,4440.0,3912.3201599999998,1283.16,5,5,8,26,0,1,1,952,852,1539,0.02334174587870663
Cab063,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-14,2019-08-30,NSIC Rc402,3.05,256.2,233.08136329929326,60,4893.35,17.34,84850.73,108,250.47,26.9,8.8,Wala,Wala,12297.6,4920.0,3554.0064,1421.8799999999999,5,14,8,30,0,1,1,994,852,1539,0.09023667720806682
Cab064,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-06,2019-09-18,NSIC Rc222,3.44,288.96,288.96,60,4655.82,17.34,80731.85,104,304.98,27.0,7.4,Wala,Wala,17337.6,4680.0,5010.5664,1352.52,6,6,9,18,1,1,1,952,852,1539,0.0
Cab065,Cabanatuan,Banlik,Tag-ulan,2019,2019-06-18,2019-10-08,NSIC Rc222,3.44,288.96,276.82473247846156,60,4675.22,17.34,81068.3,112,222.47,28.1,9.2,Wala,Wala,13870.08,4680.0,4008.45312,1352.52,6,18,10,8,1,1,1,952,852,1501,0.041996357701890946
Cab066,Cabanatuan,Burak,Tag-ulan,2019,2019-06-21,2019-09-30,NSIC Rc216,3.3,277.2,273.40923629915744,60,3815.16,17.34,66154.81,101,246.88,28.9,8.0,Wala,Wala,13305.599999999999,3840.0,3845.3183999999997,1109.76,6,21,9,30,1,1,1,957,852,1548,0.013675193725983185
Cab067,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-24,2019-09-17,NSIC Rc402,0.53,44.52,37.316067536083224,60,3754.84,17.34,65109.0,116,254.03,31.1,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,1816.4160000000004,3780.0,524.9442240000001,1092.42,5,24,9,17,0,1,1,994,852,1501,0.16181339766210195
Cab068,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-06-24,2019-10-07,NSIC Rc216,1.3,109.2,108.09499022699075,60,4154.22,17.34,72034.22,105,260.84,27.4,8.7,Wala,Wala,5241.6,4140.0,1514.8224000000002,1196.46,6,24,10,7,1,1,1,957,852,1500,0.010119137115469409
Cab069,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-05-13,2019-08-24,PSB Rc82,1.22,102.48,102.48,60,3865.74,17.34,67032.0,103,340.68,25.5,7.4,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,6148.8,3840.0,1777.0032,1109.76,5,13,8,24,0,1,1,948,852,1511,0.0
Cab070,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2019-05-05,2019-08-17,NSIC Rc222,1.09,91.56,83.45981573479371,60,3266.3,17.34,56637.71,104,311.37,30.6,6.8,Wala,Wala,4669.5599999999995,3240.0,1349.5028399999999,936.36,5,5,8,17,0,1,1,952,852,1500,0.08846859179998134
Cab071,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-06-10,2019-10-02,PSB Rc82,4.87,409.08,322.52800596704617,60,3373.37,17.34,58494.23,114,219.63,28.4,9.2,Wala,Wala,19635.84,3360.0,5674.75776,971.04,6,10,10,2,1,1,1,948,852,1539,0.21157718302765668
Cab072,Cabanatuan,Burak,Tag-ulan,2019,2019-06-13,2019-09-28,NSIC Rc222,0.61,51.24,51.24,60,4263.37,17.34,73926.85,107,312.99,29.6,8.3,Wala,Wala,3074.4,4260.0,888.5016,1231.14,6,13,9,28,1,1,1,952,852,1548,0.0
Cab073,Cabanatuan,Banlik,Tag-ulan,2019,2019-05-17,2019-09-01,NSIC Rc222,4.72,396.47999999999996,371.5257728803894,60,3625.16,17.34,62860.35,107,238.15,25.4,8.8,Wala,Wala,19031.039999999997,3600.0,5499.97056,1040.4,5,17,9,1,0,1,1,952,852,1501,0.06293943482549073
Cab074,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-07,2019-09-25,NSIC Rc222,0.54,45.36,45.36,60,4406.5,17.34,76408.7,110,326.1,28.6,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,2721.6,4380.0,786.5423999999999,1265.82,6,7,9,25,1,1,1,952,852,1511,0.0
Cab075,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2019-05-01,2019-08-15,NSIC Rc216,2.21,185.64,185.64,60,4267.42,17.34,73997.05,106,312.52,28.7,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11138.4,4260.0,3218.9975999999997,1231.14,5,1,8,15,0,1,1,957,852,1539,0.0
Cab076,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-28,2019-10-13,NSIC Rc216,3.07,257.88,240.40753181682373,60,4008.05,17.34,69499.57,107,266.0,28.5,8.9,Wala,Wala,12378.24,4020.0,3577.31136,1161.78,6,28,10,13,1,1,1,957,852,1511,0.06775425850463877
Cab077,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,2019-06-25,2019-10-04,NSIC Rc216,3.11,261.24,261.24,60,3826.38,17.34,66349.35,101,314.65,26.6,7.8,Wala,Wala,15674.400000000001,3840.0,4529.9016,1109.76,6,25,10,4,1,1,1,957,852,1511,0.0
Cab078,Cabanatuan,Burak,Tag-ulan,2019,2019-05-20,2019-08-31,PSB Rc82,1.95,163.79999999999998,163.79999999999998,60,4608.28,17.34,79907.6,103,393.29,28.9,7.7,Wala,Wala,9827.999999999998,4620.0,2840.2919999999995,1335.18,5,20,8,31,0,1,1,948,852,1548,0.0
