Petsa,Bayan,Barangay,Sukat_ng_Bukid_Ektarya,Uri_ng_Palay,Petsa_ng_Pagtatanim,Yugto_ng_Palay,Inaasahang_Ani_Tonelada,Totoong_Ani_Tonelada,Sanhi_ng_Pinsala,Porsyento_ng_Pinsala,Pinagkukunan_ng_Tubig,Uri_ng_Lupa,Dami_ng_Abono_Kilo,Gumamit_ng_Pestisidyo,Kondisyon_ng_Panahon,Datos_ng_Bagyo
2023-12-26,Science City of Muñoz,Magtanggol,3.69,NSIC Rc216,2023-09-16,Pamumulaklak,5.8,4.93,Wala,15,Tubig-ulan,Banlik,158,Oo,"{'dami_ng_ulan_mm': 158, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-02-10,San Jose,Kaliwanagan,3.46,NSIC Rc160,2022-10-25,Pamumulaklak,4.84,4.21,Wala,13,UPRIIS - Distrito 3,Malagkit na Lupa,116,Oo,"{'dami_ng_ulan_mm': 276, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-02-16,Guimba,Cabaruan,3.51,PSB Rc82,2022-11-15,Paghinog,5.84,5.37,Wala,8,UPRIIS - Distrito 1,Burak,165,Oo,"{'dami_ng_ulan_mm': 394, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 24, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-07-28,Cabanatuan,Bantug,2.02,NSIC Rc216,2023-04-09,Paghinog,5.67,0.74,Egay,87,UPRIIS - Distrito 3,Mabuhanging Burak,105,Oo,"{'dami_ng_ulan_mm': 166, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 77}","{'pangalan': 'Egay', 'lakas_ng_hangin': 95, 'ulan': 250, 'tagal': 44}"
2023-04-28,Santa Rosa,Soledad,4.55,PSB Rc82,2023-01-13,Paghinog,5.76,5.3,Wala,8,UPRIIS - Distrito 2,Malagkit na Lupa,107,Oo,"{'dami_ng_ulan_mm': 379, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 69}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-23,Aliaga,San Pablo,4.53,NSIC Rc354,2022-02-28,Pamumulaklak,5.4,1.3,Florita,76,UPRIIS - Distrito 3,Burak,168,Oo,"{'dami_ng_ulan_mm': 329, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 23, 'halumigmig': 85}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 64}"
2021-02-10,Talavera,Dimasalang,1.19,NSIC Rc222,2020-11-02,Paghinog,4.74,4.36,Wala,8,Maliit na Sistema ng Irigasyon,Banlik,140,Oo,"{'dami_ng_ulan_mm': 312, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-05-08,Guimba,Cabaruan,2.95,PSB Rc82,2023-01-09,Pamumulaklak,5.76,5.18,Wala,10,Tubig-ulan,Buhanging Lupa,180,Oo,"{'dami_ng_ulan_mm': 307, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 71}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-08-23,Talavera,Dimasalang,1.59,NSIC Rc238,2023-05-01,Paglaki,5.25,3.2,Falcon,39,UPRIIS - Distrito 2,Malagkit na Lupa,125,Oo,"{'dami_ng_ulan_mm': 343, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 72}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 28}"
2023-04-02,San Jose,Santo Niño,2.44,PSB Rc82,2022-12-17,Paghinog,5.66,4.81,Wala,15,UPRIIS - Distrito 4,Buhanging Lupa,154,Hindi,"{'dami_ng_ulan_mm': 201, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 69}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-12-09,Gapan,San Lorenzo,4.51,NSIC Rc438,2023-08-13,Paghinog,4.36,4.19,Wala,4,UPRIIS - Distrito 3,Buhanging Lupa,100,Oo,"{'dami_ng_ulan_mm': 213, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 66}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-09-12,Talavera,Esguerra,1.86,NSIC Rc438,2022-06-13,Paghinog,4.74,1.61,Inday,66,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,167,Oo,"{'dami_ng_ulan_mm': 173, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 65}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 63}"
2023-09-15,Peñaranda,Las Piñas,0.54,NSIC Rc222,2023-06-04,Paglaki,4.01,3.61,Wala,10,Tubig-ulan,Mabuhanging Burak,112,Oo,"{'dami_ng_ulan_mm': 271, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-12-21,Zaragoza,Manaul,2.9,PSB Rc82,2023-09-19,Paghinog,4.78,4.64,Wala,3,UPRIIS - Distrito 2,Buhanging Lupa,174,Oo,"{'dami_ng_ulan_mm': 273, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-03-10,Gapan,San Lorenzo,1.28,NSIC Rc402,2020-11-22,Pamumulaklak,4.35,3.91,Wala,10,UPRIIS - Distrito 2,Mabuhanging Burak,150,Hindi,"{'dami_ng_ulan_mm': 241, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 68}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-11-21,Santa Rosa,San Josef,1.67,NSIC Rc402,2022-07-28,Paghinog,4.89,4.16,Wala,15,UPRIIS - Distrito 3,Malagkit na Lupa,130,Oo,"{'dami_ng_ulan_mm': 189, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 25, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-03-13,Cabanatuan,Capaya,3.82,NSIC Rc216,2021-12-03,Paglaki,5.88,5.47,Wala,7,UPRIIS - Distrito 4,Burak,165,Oo,"{'dami_ng_ulan_mm': 399, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 24, 'halumigmig': 68}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-10-22,Aliaga,La Purisima,2.0,NSIC Rc354,2021-06-24,Paglaki,4.88,4.68,Wala,4,UPRIIS - Distrito 4,Mabuhanging Burak,173,Hindi,"{'dami_ng_ulan_mm': 247, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 26, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-01-25,Gapan,Bulak,4.82,NSIC Rc238,2021-10-26,Paghinog,4.58,4.26,Wala,7,UPRIIS - Distrito 2,Banlik,178,Oo,"{'dami_ng_ulan_mm': 261, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 26, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-10-22,Talavera,Dimasalang,0.86,NSIC Rc160,2023-07-16,Pamumulaklak,4.2,4.03,Wala,4,Tubig-ulan,Banlik,124,Hindi,"{'dami_ng_ulan_mm': 300, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 23, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-09-16,Talavera,Poblacion Sur,1.33,NSIC Rc354,2022-06-15,Pamumulaklak,4.45,3.12,Inday,30,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,138,Hindi,"{'dami_ng_ulan_mm': 199, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 84}","{'pangalan': 'Inday', 'lakas_ng_hangin': 130, 'ulan': 450, 'tagal': 52}"
2021-07-24,Gapan,San Lorenzo,4.26,PSB Rc82,2021-04-08,Paglaki,4.02,3.98,Wala,1,UPRIIS - Distrito 3,Burak,177,Hindi,"{'dami_ng_ulan_mm': 204, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-06-24,San Jose,Kaliwanagan,1.38,PSB Rc82,2023-03-06,Paglaki,5.48,2.9,Dodong,47,UPRIIS - Distrito 2,Malagkit na Lupa,149,Hindi,"{'dami_ng_ulan_mm': 400, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 70}","{'pangalan': 'Dodong', 'lakas_ng_hangin': 120, 'ulan': 300, 'tagal': 27}"
2024-01-01,Talavera,Dimasalang,1.82,NSIC Rc160,2023-09-20,Paglaki,4.07,4.03,Wala,1,Maliit na Sistema ng Irigasyon,Buhanging Lupa,122,Hindi,"{'dami_ng_ulan_mm': 328, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 25, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2024-01-01,Gapan,San Lorenzo,2.18,NSIC Rc402,2023-09-14,Paghinog,4.63,3.94,Wala,15,Tubig-ulan,Mabuhanging Burak,115,Oo,"{'dami_ng_ulan_mm': 178, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 73}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-15,Guimba,Macamias,3.19,NSIC Rc238,2022-02-02,Pamumulaklak,4.09,3.6,Wala,12,Tubig-ulan,Buhanging Lupa,170,Hindi,"{'dami_ng_ulan_mm': 381, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 76}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-09-07,San Jose,Malasin,2.23,NSIC Rc160,2023-05-10,Paglaki,5.02,4.97,Wala,1,UPRIIS - Distrito 2,Mabuhanging Burak,105,Oo,"{'dami_ng_ulan_mm': 310, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-04-03,Aliaga,Magsaysay,1.71,NSIC Rc238,2020-12-04,Paglaki,4.88,4.49,Wala,8,Tubig-ulan,Banlik,167,Oo,"{'dami_ng_ulan_mm': 125, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 71}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-09-24,Science City of Muñoz,Rizal,3.87,NSIC Rc438,2022-06-12,Paghinog,4.27,3.63,Wala,15,Tubig-ulan,Buhanging Lupa,169,Hindi,"{'dami_ng_ulan_mm': 152, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-08-13,Peñaranda,Poblacion,3.41,NSIC Rc216,2023-05-03,Paglaki,4.69,0.8,Falcon,83,Maliit na Sistema ng Irigasyon,Buhanging Lupa,164,Hindi,"{'dami_ng_ulan_mm': 111, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 25, 'halumigmig': 67}","{'pangalan': 'Falcon', 'lakas_ng_hangin': 140, 'ulan': 400, 'tagal': 37}"
2022-06-30,Zaragoza,Mayo,4.61,NSIC Rc238,2022-03-23,Paghinog,4.02,1.93,Florita,52,UPRIIS - Distrito 3,Malagkit na Lupa,119,Oo,"{'dami_ng_ulan_mm': 314, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 80}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 24}"
2023-06-03,Peñaranda,Las Piñas,3.12,NSIC Rc222,2023-02-27,Paghinog,5.81,4.94,Wala,15,Maliit na Sistema ng Irigasyon,Mabuhanging Burak,170,Oo,"{'dami_ng_ulan_mm': 276, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 74}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-06-01,Zaragoza,Mayo,0.74,NSIC Rc354,2023-02-06,Paghinog,5.44,4.68,Wala,14,Maliit na Sistema ng Irigasyon,Burak,127,Hindi,"{'dami_ng_ulan_mm': 299, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-10-21,Zaragoza,Santo Rosario,3.97,NSIC Rc354,2021-07-22,Pamumulaklak,4.56,4.47,Wala,2,UPRIIS - Distrito 4,Malagkit na Lupa,138,Oo,"{'dami_ng_ulan_mm': 375, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 83}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-03-17,Science City of Muñoz,Centro,2.78,NSIC Rc222,2021-12-08,Paghinog,5.51,4.79,Wala,13,UPRIIS - Distrito 1,Mabuhanging Burak,165,Oo,"{'dami_ng_ulan_mm': 132, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 24, 'halumigmig': 78}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-12-04,Santa Rosa,Soledad,3.91,NSIC Rc160,2023-08-06,Pamumulaklak,4.88,4.59,Wala,6,UPRIIS - Distrito 4,Buhanging Lupa,107,Hindi,"{'dami_ng_ulan_mm': 112, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 23, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-12-15,Aliaga,Magsaysay,2.93,NSIC Rc222,2022-09-09,Paglaki,5.57,5.51,Wala,1,Tubig-ulan,Malagkit na Lupa,117,Hindi,"{'dami_ng_ulan_mm': 113, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 23, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-01-10,Guimba,San Bernardino,0.87,NSIC Rc160,2020-09-29,Paglaki,4.15,4.07,Wala,2,UPRIIS - Distrito 2,Buhanging Lupa,153,Oo,"{'dami_ng_ulan_mm': 127, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 25, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-05-04,Zaragoza,Santa Cruz,4.76,NSIC Rc160,2022-01-18,Pamumulaklak,5.08,4.72,Wala,7,Tubig-ulan,Malagkit na Lupa,175,Oo,"{'dami_ng_ulan_mm': 240, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2022-06-20,Guimba,Naglabrahan,1.9,NSIC Rc402,2022-03-12,Pamumulaklak,4.78,1.39,Florita,71,UPRIIS - Distrito 2,Banlik,172,Hindi,"{'dami_ng_ulan_mm': 214, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 77}","{'pangalan': 'Florita', 'lakas_ng_hangin': 85, 'ulan': 200, 'tagal': 56}"
2023-07-04,Aliaga,La Purisima,1.6,NSIC Rc160,2023-03-12,Paglaki,5.59,2.85,Dodong,49,UPRIIS - Distrito 3,Buhanging Lupa,114,Hindi,"{'dami_ng_ulan_mm': 236, 'pinakamataas_na_temp': 30, 'pinakamababang_temp': 26, 'halumigmig': 84}","{'pangalan': 'Dodong', 'lakas_ng_hangin': 120, 'ulan': 300, 'tagal': 62}"
2021-02-24,Science City of Muñoz,Rizal,1.44,NSIC Rc160,2020-11-10,Paghinog,5.84,5.84,Wala,0,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,112,Oo,"{'dami_ng_ulan_mm': 270, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 23, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-08,Science City of Muñoz,Magtanggol,1.0,NSIC Rc402,2021-05-10,Paglaki,5.65,2.2,Kiko,61,UPRIIS - Distrito 4,Malagkit na Lupa,180,Oo,"{'dami_ng_ulan_mm': 270, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 24, 'halumigmig': 84}","{'pangalan': 'Kiko', 'lakas_ng_hangin': 150, 'ulan': 500, 'tagal': 35}"
2021-07-05,Santa Rosa,Cojuangco,3.79,NSIC Rc238,2021-03-28,Paghinog,4.27,3.67,Wala,14,UPRIIS - Distrito 3,Buhanging Lupa,120,Hindi,"{'dami_ng_ulan_mm': 254, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 25, 'halumigmig': 81}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-11-07,San Jose,Palestina,2.22,NSIC Rc222,2021-07-24,Pamumulaklak,5.59,5.03,Wala,10,UPRIIS - Distrito 3,Banlik,163,Hindi,"{'dami_ng_ulan_mm': 152, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 26, 'halumigmig': 75}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-10-24,Gapan,Bulak,4.31,NSIC Rc160,2023-07-11,Paghinog,4.94,4.2,Wala,15,UPRIIS - Distrito 1,Buhanging Lupa,108,Hindi,"{'dami_ng_ulan_mm': 193, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 26, 'halumigmig': 79}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-10,Zaragoza,Batitang,0.52,NSIC Rc402,2021-04-26,Paghinog,4.39,2.63,Kiko,40,Maliit na Sistema ng Irigasyon,Malagkit na Lupa,180,Oo,"{'dami_ng_ulan_mm': 296, 'pinakamataas_na_temp': 32, 'pinakamababang_temp': 24, 'halumigmig': 66}","{'pangalan': 'Kiko', 'lakas_ng_hangin': 150, 'ulan': 500, 'tagal': 61}"
2022-02-13,Gapan,Bulak,1.3,NSIC Rc160,2021-10-31,Pamumulaklak,5.97,5.55,Wala,7,UPRIIS - Distrito 2,Malagkit na Lupa,157,Hindi,"{'dami_ng_ulan_mm': 178, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 77}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-01-04,Gapan,Pambuan,2.29,NSIC Rc354,2020-10-06,Pamumulaklak,5.68,5.17,Wala,9,Tubig-ulan,Banlik,170,Oo,"{'dami_ng_ulan_mm': 244, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 26, 'halumigmig': 82}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2021-08-29,Science City of Muñoz,Magtanggol,4.87,PSB Rc82,2021-05-07,Paghinog,5.68,3.18,Kiko,44,UPRIIS - Distrito 3,Burak,171,Oo,"{'dami_ng_ulan_mm': 190, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 25, 'halumigmig': 81}","{'pangalan': 'Kiko', 'lakas_ng_hangin': 150, 'ulan': 500, 'tagal': 24}"
2022-02-01,Cabanatuan,Dalampang,2.51,PSB Rc82,2021-10-24,Pamumulaklak,4.87,4.14,Wala,15,UPRIIS - Distrito 2,Malagkit na Lupa,150,Oo,"{'dami_ng_ulan_mm': 296, 'pinakamataas_na_temp': 34, 'pinakamababang_temp': 24, 'halumigmig': 67}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-06-12,Zaragoza,Batitang,1.34,NSIC Rc354,2023-02-16,Paghinog,4.42,2.17,Dodong,51,UPRIIS - Distrito 3,Mabuhanging Burak,114,Oo,"{'dami_ng_ulan_mm': 340, 'pinakamataas_na_temp': 35, 'pinakamababang_temp': 24, 'halumigmig': 72}","{'pangalan': 'Dodong', 'lakas_ng_hangin': 120, 'ulan': 300, 'tagal': 56}"
2023-06-24,Cabanatuan,Bantug,4.74,NSIC Rc438,2023-03-04,Paglaki,4.14,0.46,Dodong,89,UPRIIS - Distrito 3,Buhanging Lupa,137,Oo,"{'dami_ng_ulan_mm': 248, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 65}","{'pangalan': 'Dodong', 'lakas_ng_hangin': 120, 'ulan': 300, 'tagal': 70}"
2022-06-03,Peñaranda,Las Piñas,1.28,NSIC Rc438,2022-02-18,Paglaki,4.57,3.93,Wala,14,UPRIIS - Distrito 4,Mabuhanging Burak,144,Oo,"{'dami_ng_ulan_mm': 354, 'pinakamataas_na_temp': 31, 'pinakamababang_temp': 23, 'halumigmig': 80}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
2023-11-30,Peñaranda,Callos,1.88,NSIC Rc216,2023-08-06,Pamumulaklak,4.0,3.6,Wala,10,UPRIIS - Distrito 2,Burak,117,Oo,"{'dami_ng_ulan_mm': 292, 'pinakamataas_na_temp': 33, 'pinakamababang_temp': 23, 'halumigmig': 85}","{'pangalan': '', 'lakas_ng_hangin': 0, 'ulan': 0, 'tagal': 0}"
