ID_Magsasaka,Bayan,Uri_ng_Lupa,Panahon,Taon,Petsa_ng_Pagtatanim,Petsa_ng_Pag_aani,Uri_ng_Palay,Sukat_ng_Bukid_Ektarya,Inaasahang_Ani_Sako,Aktwal_na_Ani_Sako,Kilos_kada_Sako,Kabuuang_Kilos,Presyo_kada_Kilo,Kabuuang_Kita,Tagal_ng_Paglago_Araw,Kabuuang_Ulan_mm,Temperatura_Celsius,Antas_ng_Tagumpay,Mga_Hamon,Mga_Rekomendasyon,Total_Inaasahang_Kilo,Aktwal_Nabentang_Kilo,Total_Inaasahang_Kita,Aktwal_Nabentang_Kita,Planting_Month,Planting_Day,Reaping_Month,Reaping_Day,Planting_Typhoon_Risk,Reaping_Typhoon_Risk,Typhoon_Risk,Uri_ng_Palay_Freq,Bayan_Freq,Uri_ng_Lupa_Freq
Cab026,Cabanatuan,Burak,Tag-ulan,2019,28/6/2019,11/10/2019,PSB Rc82,2.27,190.68,69,60,4169.19,17.34,72293.7,105,266.15,29.2,8.8,Wala,Wala,11440.8,4140,3306.3912,1196.46,6,28,10,11,1,1,1,948,852,1548
Cab027,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,5/5/2019,19/8/2019,NSIC Rc402,2.96,248.64,69,60,4119.33,17.34,71429.16,106,351.55,29.9,8,Wala,Wala,14918.4,4140,4311.4176,1196.46,5,5,8,19,0,1,1,994,852,1539
Cab028,Cabanatuan,Burak,Tag-ulan,2019,3/6/2019,28/9/2019,PSB Rc82,4.51,378.84,80,60,4788.47,17.34,83032.04,117,258.04,27.4,8.9,Wala,Wala,22730.4,4800,6569.0856,1387.2,6,3,9,28,1,1,1,948,852,1548
Cab029,Cabanatuan,Banlik,Tag-ulan,2019,7/6/2019,20/9/2019,NSIC Rc222,4.31,362.04,60,60,3620.72,17.34,62783.32,105,316.56,30,8.2,Wala,Wala,21722.4,3600,6277.7736,1040.4,6,7,9,20,1,1,1,952,852,1501
Cab030,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,19/5/2019,15/9/2019,NSIC Rc402,2.12,178.08,63,60,3802.12,17.34,65928.7,119,276.04,27.6,8.8,Wala,Wala,10684.8,3780,3087.9072,1092.42,5,19,9,15,0,1,1,994,852,1500
Cab031,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,2/5/2019,20/8/2019,NSIC Rc222,1.24,104.16,74,60,4462.85,17.34,77385.84,110,244.68,25.6,9.4,Wala,Wala,6249.6,4440,1806.1344,1283.16,5,2,8,20,0,1,1,952,852,1539
Cab032,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,24/5/2019,9/9/2019,PSB Rc82,0.73,61.32,63,60,3803.13,17.34,65946.29,108,340.63,30.7,7.6,Wala,Wala,3679.2,3780,1063.2888,1092.42,5,24,9,9,0,1,1,948,852,1500
Cab033,Cabanatuan,Burak,Tag-ulan,2019,23/6/2019,12/10/2019,PSB Rc82,2.91,244.44,69,60,4139.6,17.34,71780.68,111,296.4,30,8.7,Wala,Wala,14666.4,4140,4238.5896,1196.46,6,23,10,12,1,1,1,948,852,1548
Cab034,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,6/5/2019,31/8/2019,PSB Rc82,1.5,126,86,60,5130.37,17.34,88960.54,117,318.08,26.7,8.2,Wala,Wala,7560,5160,2184.84,1491.24,5,6,8,31,0,1,1,948,852,1500
Cab035,Cabanatuan,Banlik,Tag-ulan,2019,12/5/2019,29/8/2019,PSB Rc82,3.06,257.04,76,60,4556.49,17.34,79009.6,109,318.07,31.1,7.7,Wala,Wala,15422.4,4560,4457.0736,1317.84,5,12,8,29,0,1,1,948,852,1501
Cab036,Cabanatuan,Banlik,Tag-ulan,2019,16/5/2019,25/8/2019,NSIC Rc216,4.99,419.16,81,60,4833.28,17.34,83809.07,101,298.21,31.1,7.6,Wala,Wala,25149.6,4860,7268.2344,1404.54,5,16,8,25,0,1,1,957,852,1501
Cab037,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,5/6/2019,26/9/2019,NSIC Rc222,4.38,367.92,59,60,3566.73,17.34,61847.04,113,169.01,29.6,8.6,Wala,Wala,22075.2,3540,6379.7328,1023.06,6,5,9,26,1,1,1,952,852,1511
Cab038,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,5/6/2019,30/9/2019,NSIC Rc216,0.56,47.04,66,60,3976,17.34,68943.88,117,304.35,27.4,8.4,Wala,Wala,2822.4,3960,815.6736,1144.44,6,5,9,30,1,1,1,957,852,1539
Cab039,Cabanatuan,Burak,Tag-ulan,2019,7/5/2019,23/8/2019,NSIC Rc402,4.23,355.32,67,60,4019.41,17.34,69696.54,108,304.59,24,7.5,Wala,Wala,21319.2,4020,6161.2488,1161.78,5,7,8,23,0,1,1,994,852,1548
Cab040,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,9/5/2019,2/9/2019,NSIC Rc216,0.52,43.68,87,60,5223.9,17.34,90582.48,116,289.02,28.7,9,Wala,Wala,2620.8,5220,757.4112,1508.58,5,9,9,2,0,1,1,957,852,1511
Cab041,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,26/6/2019,22/10/2019,NSIC Rc222,4.62,388.08,54,60,3269.45,17.34,56692.32,118,373.89,27,8,Wala,Wala,23284.8,3240,6729.3072,936.36,6,26,10,22,1,1,1,952,852,1539
Cab042,Cabanatuan,Burak,Tag-ulan,2019,24/6/2019,8/10/2019,PSB Rc82,2.88,241.92,53,60,3175.56,17.34,55064.27,106,259.58,27,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,14515.2,3180,4194.8928,919.02,6,24,10,8,1,1,1,948,852,1548
Cab043,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,16/5/2019,10/9/2019,PSB Rc82,0.86,72.24,58,60,3481.33,17.34,60366.34,117,345.77,28.7,8,Wala,Wala,4334.4,3480,1252.6416,1005.72,5,16,9,10,0,1,1,948,852,1511
Cab044,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,24/6/2019,4/10/2019,NSIC Rc216,2.45,205.8,71,60,4289.62,17.34,74381.93,102,273.51,29,8.1,Wala,Wala,12348,4260,3568.572,1231.14,6,24,10,4,1,1,1,957,852,1511
Cab045,Cabanatuan,Burak,Tag-ulan,2019,14/6/2019,26/9/2019,NSIC Rc402,2.29,192.36,77,60,4639.02,17.34,80440.63,104,304.85,29.9,8,Wala,Wala,11541.6,4620,3335.5224,1335.18,6,14,9,26,1,1,1,994,852,1548
Cab046,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,17/5/2019,2/9/2019,NSIC Rc216,0.94,78.96,59,60,3519.99,17.34,61036.69,108,264.9,27.3,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,4737.6,3540,1369.1664,1023.06,5,17,9,2,0,1,1,957,852,1500
Cab047,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,28/5/2019,23/9/2019,PSB Rc82,4.73,397.32,68,60,4104.98,17.34,71180.38,118,280.39,25.1,8.6,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,23839.2,4080,6889.5288,1179.12,5,28,9,23,0,1,1,948,852,1539
Cab048,Cabanatuan,Burak,Tag-ulan,2019,8/5/2019,24/8/2019,PSB Rc82,2.17,182.28,82,60,4891.3,17.34,84815.12,108,314.81,28.5,8.4,Wala,Wala,10936.8,4920,3160.7352,1421.88,5,8,8,24,0,1,1,948,852,1548
Cab049,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,19/6/2019,3/10/2019,NSIC Rc402,1.69,141.96,69,60,4125.74,17.34,71540.33,106,300.26,27.5,8.2,Wala,Wala,8517.6,4140,2461.5864,1196.46,6,19,10,3,1,1,1,994,852,1500
Cab050,Cabanatuan,Banlik,Tag-ulan,2019,6/5/2019,22/8/2019,NSIC Rc402,2.19,183.96,77,60,4629.99,17.34,80284.03,108,229.23,27.2,9,Wala,Wala,11037.6,4620,3189.8664,1335.18,5,6,8,22,0,1,1,994,852,1501
Cab051,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,23/6/2019,3/10/2019,PSB Rc82,2.61,219.24,69,60,4126.68,17.34,71556.69,102,282.86,26.4,8.1,Wala,Wala,13154.4,4140,3801.6216,1196.46,6,23,10,3,1,1,1,948,852,1500
Cab052,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,26/6/2019,18/10/2019,PSB Rc82,2.79,234.36,74,60,4454.75,17.34,77245.39,114,291.94,28.8,9.1,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,14061.6,4440,4063.8024,1283.16,6,26,10,18,1,1,1,948,852,1539
Cab053,Cabanatuan,Banlik,Tag-ulan,2019,23/6/2019,9/10/2019,NSIC Rc216,4.63,388.92,61,60,3657.57,17.34,63422.2,108,394.31,28.3,8.1,Wala,Wala,23335.2,3660,6743.8728,1057.74,6,23,10,9,1,1,1,957,852,1501
Cab054,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,27/5/2019,12/9/2019,PSB Rc82,1.46,122.64,72,60,4344.36,17.34,75331.23,108,312.88,27.9,8,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,7358.4,4320,2126.5776,1248.48,5,27,9,12,0,1,1,948,852,1500
Cab055,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,4/5/2019,1/9/2019,NSIC Rc402,2.27,190.68,84,60,5049.61,17.34,87560.18,120,204.06,27.9,8.8,Wala,Wala,11440.8,5040,3306.3912,1456.56,5,4,9,1,0,1,1,994,852,1511
Cab056,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,4/5/2019,31/8/2019,NSIC Rc402,4,336,74,60,4444.85,17.34,77073.67,119,303.01,32.9,7.4,Wala,Wala,20160,4440,5826.24,1283.16,5,4,8,31,0,1,1,994,852,1511
Cab057,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,2/6/2019,29/9/2019,NSIC Rc216,4.87,409.08,72,60,4330.88,17.34,75097.52,119,290.38,28.6,8.8,Wala,Wala,24544.8,4320,7093.4472,1248.48,6,2,9,29,1,1,1,957,852,1500
Cab058,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,5/6/2019,30/9/2019,NSIC Rc402,0.89,74.76,67,60,4048.8,17.34,70206.12,117,298.26,25.7,9.2,Wala,Wala,4485.6,4020,1296.3384,1161.78,6,5,9,30,1,1,1,994,852,1539
Cab059,Cabanatuan,Burak,Tag-ulan,2019,2/5/2019,15/8/2019,PSB Rc82,4.01,336.84,65,60,3923.59,17.34,68035.12,105,357.14,29.5,8.1,Wala,Wala,20210.4,3900,5840.8056,1127.1,5,2,8,15,0,1,1,948,852,1548
Cab060,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,17/5/2019,11/9/2019,PSB Rc82,2.18,183.12,72,60,4302.85,17.34,74611.33,117,339.55,26.2,8.4,Wala,Wala,10987.2,4320,3175.3008,1248.48,5,17,9,11,0,1,1,948,852,1539
Cab061,Cabanatuan,Burak,Tag-ulan,2019,21/5/2019,7/9/2019,NSIC Rc222,4.97,417.48,76,60,4588.33,17.34,79561.67,109,370.14,25.2,8,Wala,Wala,25048.8,4560,7239.1032,1317.84,5,21,9,7,0,1,1,952,852,1548
Cab062,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,5/5/2019,26/8/2019,NSIC Rc222,3.16,265.44,74,60,4467.94,17.34,77474.12,113,329.34,32.4,8.2,Wala,Wala,15926.4,4440,4602.7296,1283.16,5,5,8,26,0,1,1,952,852,1539
Cab063,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,14/5/2019,30/8/2019,NSIC Rc402,3.05,256.2,82,60,4893.35,17.34,84850.73,108,250.47,26.9,8.8,Wala,Wala,15372,4920,4442.508,1421.88,5,14,8,30,0,1,1,994,852,1539
Cab064,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,6/6/2019,18/9/2019,NSIC Rc222,3.44,288.96,78,60,4655.82,17.34,80731.85,104,304.98,27,7.4,Wala,Wala,17337.6,4680,5010.5664,1352.52,6,6,9,18,1,1,1,952,852,1539
Cab065,Cabanatuan,Banlik,Tag-ulan,2019,18/6/2019,8/10/2019,NSIC Rc222,3.44,288.96,78,60,4675.22,17.34,81068.3,112,222.47,28.1,9.2,Wala,Wala,17337.6,4680,5010.5664,1352.52,6,18,10,8,1,1,1,952,852,1501
Cab066,Cabanatuan,Burak,Tag-ulan,2019,21/6/2019,30/9/2019,NSIC Rc216,3.3,277.2,64,60,3815.16,17.34,66154.81,101,246.88,28.9,8,Wala,Wala,16632,3840,4806.648,1109.76,6,21,9,30,1,1,1,957,852,1548
Cab067,Cabanatuan,Banlik,Tag-ulan,2019,24/5/2019,17/9/2019,NSIC Rc402,0.53,44.52,63,60,3754.84,17.34,65109,116,254.03,31.1,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,2671.2,3780,771.9768,1092.42,5,24,9,17,0,1,1,994,852,1501
Cab068,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,24/6/2019,7/10/2019,NSIC Rc216,1.3,109.2,69,60,4154.22,17.34,72034.22,105,260.84,27.4,8.7,Wala,Wala,6552,4140,1893.528,1196.46,6,24,10,7,1,1,1,957,852,1500
Cab069,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,13/5/2019,24/8/2019,PSB Rc82,1.22,102.48,64,60,3865.74,17.34,67032,103,340.68,25.5,7.4,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,6148.8,3840,1777.0032,1109.76,5,13,8,24,0,1,1,948,852,1511
Cab070,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,5/5/2019,17/8/2019,NSIC Rc222,1.09,91.56,54,60,3266.3,17.34,56637.71,104,311.37,30.6,6.8,Wala,Wala,5493.6,3240,1587.6504,936.36,5,5,8,17,0,1,1,952,852,1500
Cab071,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,10/6/2019,2/10/2019,PSB Rc82,4.87,409.08,56,60,3373.37,17.34,58494.23,114,219.63,28.4,9.2,Wala,Wala,24544.8,3360,7093.4472,971.04,6,10,10,2,1,1,1,948,852,1539
Cab072,Cabanatuan,Burak,Tag-ulan,2019,13/6/2019,28/9/2019,NSIC Rc222,0.61,51.24,71,60,4263.37,17.34,73926.85,107,312.99,29.6,8.3,Wala,Wala,3074.4,4260,888.5016,1231.14,6,13,9,28,1,1,1,952,852,1548
Cab073,Cabanatuan,Banlik,Tag-ulan,2019,17/5/2019,1/9/2019,NSIC Rc222,4.72,396.48,60,60,3625.16,17.34,62860.35,107,238.15,25.4,8.8,Wala,Wala,23788.8,3600,6874.9632,1040.4,5,17,9,1,0,1,1,952,852,1501
Cab074,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,7/6/2019,25/9/2019,NSIC Rc222,0.54,45.36,73,60,4406.5,17.34,76408.7,110,326.1,28.6,8.5,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,2721.6,4380,786.5424,1265.82,6,7,9,25,1,1,1,952,852,1511
Cab075,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,1/5/2019,15/8/2019,NSIC Rc216,2.21,185.64,71,60,4267.42,17.34,73997.05,106,312.52,28.7,7.9,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,11138.4,4260,3218.9976,1231.14,5,1,8,15,0,1,1,957,852,1539
Cab076,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,28/6/2019,13/10/2019,NSIC Rc216,3.07,257.88,67,60,4008.05,17.34,69499.57,107,266,28.5,8.9,Wala,Wala,15472.8,4020,4471.6392,1161.78,6,28,10,13,1,1,1,957,852,1511
Cab077,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,25/6/2019,4/10/2019,NSIC Rc216,3.11,261.24,64,60,3826.38,17.34,66349.35,101,314.65,26.6,7.8,Wala,Wala,15674.4,3840,4529.9016,1109.76,6,25,10,4,1,1,1,957,852,1511
Cab078,Cabanatuan,Burak,Tag-ulan,2019,20/5/2019,31/8/2019,PSB Rc82,1.95,163.8,77,60,4608.28,17.34,79907.6,103,393.29,28.9,7.7,Wala,Wala,9828,4620,2840.292,1335.18,5,20,8,31,0,1,1,948,852,1548
Cab079,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,16/5/2019,5/9/2019,PSB Rc82,1.6,134.4,66,60,3938.31,17.34,68290.34,112,240.43,29.3,9.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,8064,3960,2330.496,1144.44,5,16,9,5,0,1,1,948,852,1539
Cab080,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,1/6/2019,19/9/2019,NSIC Rc216,4.47,375.48,58,60,3495.25,17.34,60607.57,110,251.27,29.6,9.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,22528.8,3480,6510.8232,1005.72,6,1,9,19,1,1,1,957,852,1511
Cab081,Cabanatuan,Banlik,Tag-ulan,2019,24/5/2019,1/9/2019,NSIC Rc402,2.87,241.08,54,60,3254.48,17.34,56432.73,100,357.93,26.4,7.2,Mababang Ani,Pagsusuri ng lupa at pagpapatupad ng mga bagong teknik,14464.8,3240,4180.3272,936.36,5,24,9,1,0,1,1,994,852,1501
Cab082,Cabanatuan,Buhanging Lupa,Tag-ulan,2019,19/5/2019,7/9/2019,NSIC Rc222,4.67,392.28,69,60,4143.02,17.34,71839.94,111,348.17,28.8,8.6,Wala,Wala,23536.8,4140,6802.1352,1196.46,5,19,9,7,0,1,1,952,852,1539
Cab083,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,7/5/2019,27/8/2019,NSIC Rc216,1.18,99.12,81,60,4843.66,17.34,83989.06,112,341.1,31.8,8.2,Wala,Wala,5947.2,4860,1718.7408,1404.54,5,7,8,27,0,1,1,957,852,1511
Cab084,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,19/5/2019,31/8/2019,NSIC Rc222,2.7,226.8,88,60,5258.86,17.34,91188.61,104,287.73,26.5,8.4,Wala,Wala,13608,5280,3932.712,1525.92,5,19,8,31,0,1,1,952,852,1500
Cab085,Cabanatuan,Banlik,Tag-ulan,2019,13/6/2019,25/9/2019,NSIC Rc402,4.8,403.2,68,60,4100.02,17.34,71094.38,104,255.52,26.4,8,Wala,Wala,24192,4080,6991.488,1179.12,6,13,9,25,1,1,1,994,852,1501
Cab086,Cabanatuan,Malagkit na Lupa,Tag-ulan,2019,26/5/2019,5/9/2019,PSB Rc82,4.43,372.12,66,60,3942.17,17.34,68357.28,102,296.14,28.7,8.6,Wala,Wala,22327.2,3960,6452.5608,1144.44,5,26,9,5,0,1,1,948,852,1511
Cab087,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,9/5/2019,23/8/2019,NSIC Rc216,3.16,265.44,58,60,3507.22,17.34,60815.26,106,313.83,29.7,8.2,Wala,Wala,15926.4,3480,4602.7296,1005.72,5,9,8,23,0,1,1,957,852,1500
Cab088,Cabanatuan,Mabuhanging Burak,Tag-ulan,2019,14/6/2019,7/10/2019,NSIC Rc216,4.54,381.36,78,60,4658.04,17.34,80770.36,115,300.65,30.9,8,Wala,Wala,22881.6,4680,6612.7824,1352.52,6,14,10,7,1,1,1,957,852,1500
